coerce	data	error	generator	lower-q	mean	n	relative-error	sum	total-time	truth	upper-q	value
array_of_BigDecimal	BigDecimal[]	-2.561137080192566E-9	gaussians	7.167686229	7.209606534250001	16777216	1.3518857044825297E-15	pairwise	432.573600494	-1894492.3166954482	7.253826634775	-1894492.3166954457
array_of_BigDecimal	BigDecimal[]	6.984919309616089E-10	gaussians	7.157674876000001	7.191589814016667	16777216	-3.686961012225081E-16	kahan	431.457498644	-1894492.3166954482	7.225767607000001	-1894492.316695449
array_of_Ratio	Ratio[]	-2.3283064365386963E-10	gaussians	34.101021191	34.16655130153333	16777216	1.2289870040750271E-16	naive	2049.977213017	-1894492.3166954482	34.27025234605	-1894492.316695448
array_of_Ratio	Ratio[]	-6.984919309616089E-10	gaussians	7.669922948000001	7.705506704466667	16777216	3.686961012225081E-16	pairwise	462.326982374	-1894492.3166954482	7.750505343350001	-1894492.3166954475
array_of_Ratio	Ratio[]	-6.984919309616089E-10	gaussians	7.650334203000001	7.69203217365	16777216	3.686961012225081E-16	kahan	461.497589998	-1894492.3166954482	7.715072721475001	-1894492.3166954475
float_array	float[]	2.701199264265597E-9	fractions	0.029923323352941174	0.031025679839215684	16777216	8.598184303681213E-13	naive	63.291668464	3141.592653589793	0.031223605794117645	3141.5926535870917
float_array	float[]	1.7757884052116424E-9	fractions	0.019157251583333337	0.019628560422569444	16777216	5.652510051494131E-13	pairwise	56.527086472	3141.592653589793	0.02105871895885417	3141.592653588017
float_array	float[]	1.7757884052116424E-9	fractions	0.07903803507692307	0.08072431920512821	16777216	5.652510051494131E-13	kahan	62.955301144	3141.592653589793	0.08873666669230769	3141.592653588017
double_array	double[]	0.0	fractions	0.030029634787878793	0.03091760552626263	16777216	0.0	naive	61.219324859	3141.592653589793	0.03109318012045455	3141.592653589793
double_array	double[]	0.0	fractions	0.013268240039473685	0.013674282398026318	16777216	0.0	pairwise	62.352964908	3141.592653589793	0.01437514082894737	3141.592653589793
double_array	double[]	0.0	fractions	0.07858424238461538	0.07969568907179486	16777216	0.0	kahan	62.160669702	3141.592653589793	0.08094467723653846	3141.592653589793
array_of_Double	Double[]	0.0	fractions	0.03117700684375	0.031790412465625	16777216	0.0	naive	61.039027284	3141.592653589793	0.032350386	3141.592653589793
array_of_Double	Double[]	0.0	fractions	0.056326289111111115	0.057477263129629634	16777216	0.0	pairwise	62.067002017	3141.592653589793	0.059165159630555554	3141.592653589793
array_of_Double	Double[]	0.0	fractions	0.08038850123076924	0.08327235794358974	16777216	0.0	kahan	64.950779208	3141.592653589793	0.08607102338461539	3141.592653589793
array_of_BigDecimal	BigDecimal[]	0.0	fractions	1.178511456925	1.2156586745833333	16777216	0.0	naive	72.937830579	3141.592653589793	1.2595661770000002	3141.592653589793
array_of_BigDecimal	BigDecimal[]	0.0	fractions	9.255117903	9.3071322746	16777216	0.0	pairwise	558.418650456	3141.592653589793	9.379126941975	3141.592653589793
array_of_BigDecimal	BigDecimal[]	0.0	fractions	9.232972441000001	9.269616264133333	16777216	0.0	kahan	556.17410186	3141.592653589793	9.330663581025	3141.592653589793
array_of_Ratio	Ratio[]	0.0	fractions	35.205558191	35.38070053721667	16777216	0.0	naive	2122.666710489	3141.592653589793	36.951934595299996	3141.592653589793
array_of_Ratio	Ratio[]	0.0	fractions	7.429319371	7.491282480300001	16777216	0.0	pairwise	449.473656189	3141.592653589793	7.578560669725001	3141.592653589793
array_of_Ratio	Ratio[]	0.0	fractions	7.404791139	7.442291060883334	16777216	0.0	kahan	446.52681777	3141.592653589793	7.5144684135499995	3141.592653589793
